"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Luiziânia","Arco-Íris","3527702","3503356",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Pirapozinho","Tarabai","3539202","3553906",10,NA,NA,316,1.90699762577524,NA,NA,1.35143286943153,2,0.770638079764241
"Presidente Bernardes","Tarabai","3541208","3553906",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Estrela do Norte","Tarabai","3515301","3553906",6,NA,NA,15,1.02959868968757,NA,NA,-1.49604815611652,2,0.424408157464528
"Florínea","Tarumã","3516101","3553955",7,NA,NA,118,1.28881142848927,NA,NA,0.417203933789715,2,0.626340122142418
"Maracaí","Tarumã","3528809","3553955",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Cândido Mota","Tarumã","3510005","3553955",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Assis","Tarumã","3504008","3553955",6,NA,NA,376,1.02959868968757,NA,NA,1.51671764450752,2,0.704446623079733
"Cruzália","Tarumã","3513306","3553955",1,NA,NA,46,-1.40227979035003,NA,NA,-0.468584387199202,2,0.293866931622119
"Nova Campina","Itararé","3532827","3523206",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Itaberá","Itararé","3521705","3523206",6,NA,NA,13,1.02959868968757,NA,NA,-1.6233717488674,2,0.412573349879024
"Riversul","Itararé","3543501","3523206",5,NA,NA,24,0.730359543590107,NA,NA,-1.07050869166405,2,0.43614785105489
"Bom Sucesso de Itararé","Itararé","3507159","3523206",1,NA,NA,36,-1.40227979035003,NA,NA,-0.696692421616155,2,0.27266414714435
"Coroados","Bilac","3512506","3506409",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Gabriel Monteiro","Bilac","3516507","3506409",1,NA,NA,70,-1.40227979035003,NA,NA,-0.0752305069729479,2,0.330429420827065
"Clementina","Bilac","3511904","3506409",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Birigui","Bilac","3506508","3506409",4,NA,NA,70,0.37643475369414,NA,NA,-0.0752305069729479,2,0.495762050259597
"Araçatuba","Bilac","3502804","3506409",4,NA,NA,70,0.37643475369414,NA,NA,-0.0752305069729479,2,0.495762050259597
"Apiaí","Ribeira","3502705","3542800",7,NA,NA,61,1.28881142848927,NA,NA,-0.204474564740497,2,0.568554716851935
"Itapirapuã Paulista","Ribeira","3522653","3542800",2,NA,NA,10,-0.615186065829541,NA,NA,-1.85332231633777,2,0.238315528983918
"Itaoca","Ribeira","3522158","3542800",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Barra do Chapéu","Ribeira","3505351","3542800",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Meridiano","Valentim Gentil","3529609","3556107",7,NA,NA,135,1.28881142848927,NA,NA,0.544527526540597,2,0.638174929727922
"Magda","Valentim Gentil","3528304","3556107",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Votuporanga","Valentim Gentil","3557105","3556107",4,NA,NA,146,0.37643475369414,NA,NA,0.618689385696103,2,0.560262338321371
"Ourinhos","Canitar","3534708","3510153",4,NA,NA,217,0.37643475369414,NA,NA,0.994432117257579,2,0.595187860242373
"Chavantes","Canitar","3557204","3510153",3,NA,NA,217,-0.0567341809303825,NA,NA,0.994432117257579,2,0.554924536827291
"Cafelândia","Sabino","3508801","3544608",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Lins","Sabino","3527108","3544608",4,NA,NA,112,0.37643475369414,NA,NA,0.367873422001997,2,0.536948837613766
"Urânia","Santa Salete","3555802","3547650",5,NA,NA,70,0.730359543590107,NA,NA,-0.0752305069729479,2,0.528659580855942
