"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Franca","Patrocínio Paulista","3516200","3536307",3,NA,NA,266,-0.0567341809303825,NA,NA,1.1877598114348,2,0.572894466925111
"Altinópolis","Patrocínio Paulista","3501004","3536307",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Itirapuã","Patrocínio Paulista","3523701","3536307",4,NA,NA,168,0.37643475369414,NA,NA,0.751671811426685,2,0.572623137971867
"Parisi","Álvares Florence","3536257","3501202",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Votuporanga","Álvares Florence","3557105","3501202",8,NA,NA,14,1.5174532681106,NA,NA,-1.55758631744739,2,0.464034535088812
"Cardoso","Álvares Florence","3510708","3501202",5,NA,NA,NA,0.730359543590107,NA,NA,NA,1,0.603539679942246
"Américo de Campos","Álvares Florence","3501806","3501202",3,NA,NA,14,-0.0567341809303825,NA,NA,-1.55758631744739,2,0.317712827065958
"Cosmorama","Álvares Florence","3512902","3501202",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Nova Castilho","General Salgado","3532868","3516903",6,NA,NA,NA,1.02959868968757,NA,NA,NA,1,0.659168611542426
"São João de Iracema","General Salgado","3549250","3516903",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Santo Antônio do Aracanguá","General Salgado","3548054","3516903",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Auriflama","General Salgado","3504206","3516903",13,NA,NA,105,2.37514429910722,NA,NA,0.306897637896767,2,0.717062402755482
"Magda","General Salgado","3528304","3516903",4,NA,NA,98,0.37643475369414,NA,NA,0.241754517419501,2,0.52522600654703
"Pontalinda","General Salgado","3540259","3516903",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
