"SP","Rodovia","Trecho","mun_A","mun_B","VDM2024","split_ok"
"SP332","Presidente Tancredo de Almeida Neves","Franco da Rocha-Jundiaí","Franco da Rocha","Jundiaí",20840,TRUE
"SP333","Abrão Assed","Cajuru-Ribeirão Preto","Cajuru","Ribeirão Preto",6680,TRUE
"SP354","Edgar Maximo Zambotto","Campo Limpo Paulista -Jarinu","Campo Limpo Paulista","Jarinu",18564,TRUE
"SP360","Eng. Constâncio Cintra","Amparo-Serra Negra","Amparo","Serra Negra",7165,TRUE
"SP360","Eng. Constâncio Cintra","Lindóia-Serra Negra","Lindóia","Serra Negra",4442,TRUE
"SP425","Rod.Assis Chateaubriand","Barretos-Miguelópolis","Barretos","Miguelópolis",5469,TRUE
"SP425","Rod.Assis Chateaubriand","Barretos-Olimpia","Barretos","Olimpia",6418,TRUE
"SP425","Rod.Assis Chateaubriand","Barbosa-José Bonifâcio","Barbosa","José Bonifâcio",3380,TRUE
"SP425","Rod.Assis Chateaubriand","Presidente Prudente-Santopólis do Aguapeí","Presidente Prudente","Santopólis do Aguapeí",6318,TRUE
"SP425","Rod.Assis Chateaubriand","Pirapozinho-Presidente Prudente","Pirapozinho","Presidente Prudente",13700,TRUE
"SP461","Otaviano Cardoso Filho","Birigui-Nhandeara","Birigui","Nhandeara",3783,TRUE
"SP563","Euclides de Figueiredo","Teodoro Sampaio-Tupi Paulista","Teodoro Sampaio","Tupi Paulista",1927,TRUE
"SP563","Euclides de Figueiredo","Andradina-Tupi Paulista","Andradina","Tupi Paulista",5126,TRUE
