"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35100053519907,"35","SP",3510005,"Cândido Mota","35","SP",3519907,"Iepê","Centro Local","Centro Local",35.3,130,0,1,1,-50.3883931715,-22.7469254997,-51.0774138913,-22.6631014716,0,"Não",0.271538461538462
35248083557105,"35","SP",3524808,"Jales","35","SP",3557105,"Votuporanga","Centro de Zona A","Centro de Zona A",17.65,65,0,200,200,-50.5503561995,-20.2678530471,-49.9746720153,-20.4194699999,0,"Não",0.271538461538462
35095023520442,"35","SP",3509502,"Campinas","35","SP",3520442,"Ilha Solteira","Núcleo de Capital Regional A (Campinas)","Centro de Zona B",157.5,580,0,35,35,-47.0601562726,-22.9073424996,-51.3448906581,-20.4293724997,0,"Não",0.271551724137931
35120013525904,"35","SP",3512001,"Colina","35","SP",3525904,"Jundiaí","Centro Local","Núcleo de Centro de Zona A (Jundiaí)",95.05,350,0,34,34,-48.539738329,-20.7187344996,-46.8852739681,-23.187668,0,"Não",0.271571428571429
35257063550308,"35","SP",3525706,"José Bonifácio","35","SP",3550308,"São Paulo","Centro Local","Núcleo de Metrópole (São Paulo)",114.07,420,0,14,14,-49.6862827159,-21.0537190349,-46.5703831822,-23.5673865001,0,"Não",0.271595238095238
35485003550605,"35","SP",3548500,"Santos","35","SP",3550605,"São Roque","Núcleo de Capital Regional C (Santos)","Integrante de Metrópole (São Paulo)",40.75,150,0,14,14,-46.3313708495,-23.9337374998,-47.1354230132,-23.5303590004,0,"Não",0.271666666666667
35095023527207,"35","SP",3509502,"Campinas","35","SP",3527207,"Lorena","Núcleo de Capital Regional A (Campinas)","Centro de Zona B",65.24,240,0,14,14,-47.0601562726,-22.9073424996,-45.1242481439,-22.7316930329,0,"Não",0.271833333333333
35271083548807,"35","SP",3527108,"Lins","35","SP",3548807,"São Caetano do Sul","Centro de Zona A","Integrante de Metrópole (São Paulo)",118.28,435,0,14,14,-49.751423387,-21.6723464997,-46.5715146085,-23.6147050004,0,"Não",0.271908045977011
35487083553401,"35","SP",3548708,"São Bernardo do Campo","35","SP",3553401,"Tanabi","Integrante de Metrópole (São Paulo)","Centro Local",138.75,510,0,28,28,-46.5502572479,-23.7103044997,-49.6488201997,-20.6251121365,0,"Não",0.272058823529412
35143043547809,"35","SP",3514304,"Dourado","35","SP",3547809,"Santo André","Centro Local","Integrante de Metrópole (São Paulo)",78.9,290,0,4,4,-48.3162358067,-22.113167196,-46.5308742578,-23.6575100004,0,"Não",0.272068965517241
35313083548906,"35","SP",3531308,"Monte Alto","35","SP",3548906,"São Carlos","Centro de Zona B","Centro Subregional A",32.65,120,0,70,70,-48.4966512602,-21.2638639951,-47.8892376849,-22.0159985003,0,"Não",0.272083333333333
35155093548708,"35","SP",3515509,"Fernandópolis","35","SP",3548708,"São Bernardo do Campo","Centro de Zona A","Integrante de Metrópole (São Paulo)",159.18,585,0,28,28,-50.2487484308,-20.2823829896,-46.5502572479,-23.7103044997,0,"Não",0.272102564102564
