"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Salmourão","Osvaldo Cruz","3545100","3534609","base",2,4,NA,NA,76,NA,0.289002679569404
"Salmourão","Lucélia","3545100","3527405","base",1,1,NA,NA,NA,NA,0.132416970958724
"Marabá Paulista","Santo Anastácio","3528700","3547700","base",1,1,NA,NA,NA,NA,0.132416970958724
"Buritizal","Aramina","3508207","3503000","base",1,5,NA,NA,NA,NA,0.33530507567582
"Pindorama","Palmares Paulista","3538105","3535101","base",1,4,NA,NA,NA,NA,0.301634530126178
"Itaporanga","Coronel Macedo","3522802","3512605","base",2,9,NA,NA,97,NA,0.363288220611094
"Taiaçu","Bebedouro","3553104","3506102","base",2,1,NA,NA,25,NA,0.158106836596153
"Osvaldo Cruz","Sagres","3534609","3544707","base",2,3,NA,NA,24,NA,0.220438809567983
"Alfredo Marcondes","Álvares Machado","3500808","3501301","base",2,2,NA,NA,6,NA,0.139604331509668
"Paranapuã","Urânia","3535903","3555802","base",1,2,NA,NA,NA,NA,0.207296933764083
"Juquiá","Iguape","3526100","3520301","base",2,2,NA,NA,14,NA,0.172096674002319
"Jardinópolis","Ribeirão Preto","3525102","3543402","base",1,7,NA,NA,NA,NA,0.388433254782198
"Cerquilho","Tietê","3511508","3554508","base",1,8,NA,NA,NA,NA,0.410185038481178
"Saltinho","Tietê","3545159","3554508","base",2,2,NA,NA,57,NA,0.229753282169077
"Tietê","Rafard","3554508","3542107","base",2,6,NA,NA,42,NA,0.295233741031393
"Nova Aliança","Potirendaba","3532801","3540804","base",1,1,NA,NA,NA,NA,0.132416970958724
"Tabatinga","Nova Europa","3552700","3532900","base",2,8,NA,NA,93,NA,0.351782770364372
"Divinolândia","Caconde","3513900","3508702","base",2,6,NA,NA,42,NA,0.295233741031393
"Bebedouro","Pitangueiras","3506102","3539509","base",2,7,NA,NA,159,NA,0.363582495230348
"Lucélia","Pracinha","3527405","3540853","base",1,2,NA,NA,NA,NA,0.207296933764083
"Martinópolis","Pracinha","3529203","3540853","base",1,1,NA,NA,NA,NA,0.132416970958724
"Sagres","Pracinha","3544707","3540853","base",1,2,NA,NA,NA,NA,0.207296933764083
"Taiaçu","Taiúva","3553104","3553203","base",2,2,NA,NA,87,NA,0.247526729744802
"Divinolândia","São Sebastião da Grama","3513900","3550803","base",2,4,NA,NA,42,NA,0.264164447941307
"Serra Azul","Cravinhos","3551405","3513108","base",1,1,NA,NA,NA,NA,0.132416970958724
"Ribeirão Preto","Cravinhos","3543402","3513108","base",2,18,NA,NA,656,NA,0.503674531389045
"Nova Canaã Paulista","Aparecida d'Oeste","3532843","3502606","base",1,1,NA,NA,NA,NA,0.132416970958724
"Urânia","Aspásia","3555802","3503950","base",1,1,NA,NA,NA,NA,0.132416970958724
"Iaras","Borebi","3519253","3507456","base",1,3,NA,NA,NA,NA,0.260425112870461
"Jundiaí","Cajamar","3525904","3509205","base",2,5,NA,NA,378,NA,0.373783530470807
"São Paulo","Cajamar","3550308","3509205","base",3,4,NA,30039.4710259449,1978,NA,0.409337256628016
"Santa Cruz do Rio Pardo","Ourinhos","3546405","3534708","base",2,4,NA,NA,358,NA,0.354636958228284
"São José da Bela Vista","Franca","3549508","3516200","base",2,3,NA,NA,140,NA,0.294189015160998
"Ribeirão Pires","Santo André","3543303","3547809","base",2,4,NA,23997.4931920819,NA,NA,0.33191251891745
"São Paulo","Santo André","3550308","3547809","base",2,1,NA,247504.176626434,NA,NA,0.304436173479795
"Jacupiranga","Cajati","3524600","3509254","base",2,7,NA,NA,461,NA,0.408790183659877
"Cerquilho","Cesário Lange","3511508","3511607","base",2,1,NA,NA,28,NA,0.162762333686159
"Quadra","Cesário Lange","3541653","3511607","base",1,5,NA,NA,NA,NA,0.33530507567582
"São Paulo","São Bernardo do Campo","3550308","3548708","base",2,5,NA,204125.89019707,NA,NA,0.401162372080853
"Santo André","São Bernardo do Campo","3547809","3548708","base",2,6,NA,152365.673310028,NA,NA,0.408235940866378
"São Paulo","Guarulhos","3550308","3518800","base",2,11,NA,438035.565538609,NA,NA,0.483861616690216
"Arujá","Guarulhos","3503901","3518800","base",2,4,NA,18400.0827160229,NA,NA,0.325409966111857
"Marabá Paulista","Presidente Epitácio","3528700","3541307","base",1,2,NA,NA,NA,NA,0.207296933764083
"Quintana","Pompéia","3542008","3540002","base",2,3,NA,NA,238,NA,0.316686623126578
"Jundiaí","Itatiba","3525904","3523404","base",2,3,NA,NA,455,NA,0.34422881021054
"Morungaba","Itatiba","3532009","3523404","base",2,6,NA,NA,165,NA,0.352821917347728
"Valinhos","Itatiba","3556206","3523404","base",2,4,NA,NA,81,NA,0.291684886805821
"Osvaldo Cruz","Inúbia Paulista","3534609","3520806","base",2,4,NA,NA,126,NA,0.310335467919419
"Lucélia","Inúbia Paulista","3527405","3520806","base",2,4,NA,NA,150,NA,0.317714936971685
"Sagres","Inúbia Paulista","3544707","3520806","base",2,2,NA,NA,48,NA,0.222564384393939
"Promissão","Avanhandava","3541604","3504404","base",2,6,NA,NA,108,NA,0.334888762071003
"Santa Cruz do Rio Pardo","Lucianópolis","3546405","3527504","base",1,2,NA,NA,NA,NA,0.207296933764083
"Ribeirão Preto","Guatapará","3543402","3518859","base",2,2,NA,NA,61,NA,0.23259653778292
"Tabatinga","Matão","3552700","3529302","base",1,3,NA,NA,NA,NA,0.260425112870461
"Barrinha","Jaboticabal","3505609","3524303","base",2,4,NA,NA,333,NA,0.351559646363803
"Pitangueiras","Jaboticabal","3539509","3524303","base",2,3,NA,NA,28,NA,0.226766404642028
"Taiúva","Jaboticabal","3553203","3524303","base",2,6,NA,NA,59,NA,0.309436699433931
"Ribeirão Bonito","Ibaté","3542909","3519303","base",1,1,NA,NA,NA,NA,0.132416970958724
"Santa Rita d'Oeste","Santa Clara d'Oeste","3547403","3546108","base",1,1,NA,NA,NA,NA,0.132416970958724
"Santa Ernestina","Taquaritinga","3546504","3553708","base",2,3,NA,NA,114,NA,0.285499219322147
"Matão","Taquaritinga","3529302","3553708","base",2,5,NA,NA,128,NA,0.327836895398352
"Jaboticabal","Taquaritinga","3524303","3553708","base",2,6,NA,NA,330,NA,0.382244277894062
"Altair","Nova Granada","3500907","3533007","base",1,1,NA,NA,NA,NA,0.132416970958724
"Bofete","Conchas","3506904","3512308","base",2,3,NA,NA,7,NA,0.171861269419303
"Corumbataí","Rio Claro","3512704","3543907","base",2,13,NA,NA,56,NA,0.371253981643636
"Santa Cruz do Rio Pardo","Chavantes","3546405","3557204","base",2,2,NA,NA,196,NA,0.281883281026028
"Lucélia","Bento de Abreu","3527405","3506201","base",1,1,NA,NA,NA,NA,0.132416970958724
"Valparaíso","Bento de Abreu","3556305","3506201","base",2,11,NA,NA,42,NA,0.345003791671997
"Jacupiranga","Registro","3524600","3542602","base",2,5,NA,NA,494,NA,0.3851674695191
"Juquiá","Registro","3526100","3542602","base",2,5,NA,NA,536,NA,0.388639517931998
"Iguape","Registro","3520301","3542602","base",2,1,NA,NA,233,NA,0.251781185960601
"Urânia","Santa Albertina","3555802","3545704","base",1,2,NA,NA,NA,NA,0.207296933764083
"Aspásia","Santa Albertina","3503950","3545704","base",1,1,NA,NA,NA,NA,0.132416970958724
"Santa Rita d'Oeste","Santa Albertina","3547403","3545704","base",2,3,NA,NA,14,NA,0.198660763555509
"Bento de Abreu","Rubiácea","3506201","3544400","base",1,4,NA,NA,NA,NA,0.301634530126178
"Santa Cruz do Rio Pardo","Águas de Santa Bárbara","3546405","3500550","base",1,4,NA,NA,NA,NA,0.301634530126178
"Iaras","Águas de Santa Bárbara","3519253","3500550","base",2,7,NA,NA,56,NA,0.319579979925692
"Ouroeste","Guarani d'Oeste","3534757","3518008","base",2,2,NA,NA,14,NA,0.172096674002319
"Capela do Alto","Sarapuí","3510302","3551108","base",1,3,NA,NA,NA,NA,0.260425112870461
"Saltinho","Piracicaba","3545159","3538709","base",2,4,NA,NA,114,NA,0.306103927950005
"Conchas","Piracicaba","3512308","3538709","base",1,1,NA,NA,NA,NA,0.132416970958724
"Rio Claro","Piracicaba","3543907","3538709","base",2,1,NA,NA,265,NA,0.25724568329624
"Taiaçu","Monte Alto","3553104","3531308","base",1,4,NA,NA,NA,NA,0.301634530126178
"Taiúva","Monte Alto","3553203","3531308","base",1,3,NA,NA,NA,NA,0.260425112870461
"Jaboticabal","Monte Alto","3524303","3531308","base",2,4,NA,NA,147,NA,0.316859395880663
"Taquaritinga","Monte Alto","3553708","3531308","base",2,2,NA,NA,91,NA,0.249421843234737
"Guaíra","Ipuã","3517406","3521309","base",2,4,NA,NA,28,NA,0.247371113269886
"São João das Duas Pontes","São João de Iracema","3549201","3549250","base",1,2,NA,NA,NA,NA,0.207296933764083
"Nova Odessa","Sumaré","3533403","3552403","base",2,14,NA,NA,555,NA,0.474730656611683
"Nova Campina","Apiaí","3532827","3502705","base",2,4,NA,NA,38,NA,0.260001823781865
"Lucianópolis","Ubirajara","3527504","3555505","base",2,3,NA,NA,52,NA,0.252473956969611
"Macatuba","Igaraçu do Tietê","3528007","3520004","base",1,1,NA,NA,NA,NA,0.132416970958724
"Barrinha","Pradópolis","3505609","3540903","base",2,6,NA,NA,26,NA,0.275393893943203
"Guatapará","Pradópolis","3518859","3540903","base",2,7,NA,NA,26,NA,0.287723963181127
"Bofete","Botucatu","3506904","3507506","base",2,1,NA,NA,71,NA,0.201531547827883
"Arapeí","Bananal","3503158","3504909","base",2,2,NA,NA,141,NA,0.267926220385913
"Severínia","Cajobi","3551900","3509304","base",2,9,NA,NA,88,NA,0.359181333201204
"Embaúba","Cajobi","3514957","3509304","base",2,2,NA,NA,40,NA,0.214965121544534
"Bofete","Pardinho","3506904","3536109","base",2,5,NA,NA,56,NA,0.293015890372502
"Botucatu","Pardinho","3507506","3536109","base",2,4,NA,NA,50,NA,0.271438731352157
"Corumbataí","Leme","3512704","3526704","base",1,2,NA,NA,NA,NA,0.207296933764083
"São Paulo","São Caetano do Sul","3550308","3548807","base",2,1,NA,106644.424270292,NA,NA,0.28382238376697
"Santo André","São Caetano do Sul","3547809","3548807","base",2,1,NA,99830.551838099,NA,NA,0.282205807876159
"Serra Azul","São Simão","3551405","3550902","base",1,3,NA,NA,NA,NA,0.260425112870461
"Cravinhos","São Simão","3513108","3550902","base",2,7,NA,NA,84,NA,0.336616139692642
"Bofete","Anhembi","3506904","3502309","base",1,5,NA,NA,NA,NA,0.33530507567582
"Conchas","Anhembi","3512308","3502309","base",1,2,NA,NA,NA,NA,0.207296933764083
"Piracicaba","Anhembi","3538709","3502309","base",2,5,NA,NA,38,NA,0.276837096556686
"Botucatu","Anhembi","3507506","3502309","base",2,6,NA,NA,38,NA,0.291071116871951
"São José da Bela Vista","Ribeirão Corrente","3549508","3543105","base",1,1,NA,NA,NA,NA,0.132416970958724
"Franca","Ribeirão Corrente","3516200","3543105","base",2,5,NA,NA,98,NA,0.316552248824402
"Severínia","Olímpia","3551900","3533908","base",2,7,NA,NA,163,NA,0.36463521621407
"Altair","Olímpia","3500907","3533908","base",2,2,NA,NA,24,NA,0.193874720014794
"Guapiaçu","Olímpia","3517505","3533908","base",2,6,NA,NA,41,NA,0.294230564543265
"Cajobi","Olímpia","3509304","3533908","base",2,3,NA,NA,88,NA,0.274572553617477
"Palmares Paulista","Paraíso","3535101","3535705","base",2,4,NA,NA,48,NA,0.269733182574987
"Embaúba","Paraíso","3514957","3535705","base",1,2,NA,NA,NA,NA,0.207296933764083
"Mogi Mirim","Itapira","3530805","3522604","base",2,6,NA,NA,214,NA,0.363848961726092
"Nova Aliança","José Bonifácio","3532801","3525706","base",1,1,NA,NA,NA,NA,0.132416970958724
"Cotia","Osasco","3513009","3534401","base",2,5,NA,6117.4001880081,NA,NA,0.315285464171797
"São Paulo","Osasco","3550308","3534401","base",2,14,NA,425192.001439481,NA,NA,0.503737694894914
"Barueri","Osasco","3505708","3534401","base",2,5,NA,58867.6240373553,NA,NA,0.370717889995559
"Álvares Machado","Pirapozinho","3501301","3539202","base",1,3,NA,NA,NA,NA,0.260425112870461
"Capão Bonito","Buri","3510203","3508009","base",2,4,NA,NA,40,NA,0.262133919725582
"Bebedouro","Viradouro","3506102","3556800","base",2,5,NA,NA,110,NA,0.321429909177231
"Pitangueiras","Viradouro","3539509","3556800","base",2,4,NA,NA,54,NA,0.274657847379831
"Dois Córregos","Mineiros do Tietê","3514106","3529807","base",2,5,NA,NA,162,NA,0.337810373348573
"Ribeirão Bonito","Boa Esperança do Sul","3542909","3506706","base",2,2,NA,NA,56,NA,0.229011819416634
"Nova Europa","Boa Esperança do Sul","3532900","3506706","base",1,1,NA,NA,NA,NA,0.132416970958724
"Altair","Icém","3500907","3519808","base",2,7,NA,NA,24,NA,0.284442880523852
"Nova Granada","Icém","3533007","3519808","base",2,5,NA,NA,172,NA,0.340348803589973
"Morungaba","Amparo","3532009","3501905","base",2,3,NA,NA,126,NA,0.289730759291561
"Itapira","Amparo","3522604","3501905","base",2,3,NA,NA,28,NA,0.226766404642028
"Potirendaba","Cedral","3540804","3511300","base",2,3,NA,NA,36,NA,0.237152753092327
"Guapiaçu","Cedral","3517505","3511300","base",1,2,NA,NA,NA,NA,0.207296933764083
"Alfredo Marcondes","Presidente Prudente","3500808","3541406","base",2,6,NA,NA,134,NA,0.344009114637901
"Álvares Machado","Presidente Prudente","3501301","3541406","base",1,17,NA,NA,NA,NA,0.538193180392915
"Pirapozinho","Presidente Prudente","3539202","3541406","base",3,3,13700,NA,606,NA,0.333331600958505
"Florínea","Cândido Mota","3516101","3510005","base",1,3,NA,NA,NA,NA,0.260425112870461
"Coronel Macedo","Taquarituba","3512605","3553807","base",2,4,NA,NA,126,NA,0.310335467919419
"Tejupá","Taquarituba","3554201","3553807","base",2,4,NA,NA,35,NA,0.256589360331371
"Tietê","Mombuca","3554508","3530904","base",1,2,NA,NA,NA,NA,0.207296933764083
"Rafard","Mombuca","3542107","3530904","base",2,1,NA,NA,28,NA,0.162762333686159
"Cajati","Barra do Turvo","3509254","3505401","base",2,3,NA,NA,12,NA,0.192559940471782
"Cafelândia","Pongaí","3508801","3540101","base",2,4,NA,NA,28,NA,0.247371113269886
"Santa Cruz do Rio Pardo","Ipaussu","3546405","3520905","base",2,3,NA,NA,217,NA,0.312765727433297
"Chavantes","Ipaussu","3557204","3520905","base",2,3,NA,NA,224,NA,0.314113158932431
"São José da Bela Vista","Restinga","3549508","3542701","base",1,2,NA,NA,NA,NA,0.207296933764083
"Franca","Restinga","3516200","3542701","base",1,13,NA,NA,NA,NA,0.491781258218088
"Promissão","Guaiçara","3541604","3517208","base",2,10,NA,NA,14,NA,0.292070328430009
"São Simão","Santa Rita do Passa Quatro","3550902","3547502","base",2,4,NA,NA,13,NA,0.216324096770955
"Leme","Santa Cruz da Conceição","3526704","3546207","base",2,8,NA,NA,98,NA,0.353992230227081
"Monte Castelo","São João do Pau d'Alho","3531605","3549300","base",2,1,NA,NA,38,NA,0.175393044198138
"São Paulo","Mairiporã","3550308","3528502","base",2,5,NA,29697.6925178339,NA,NA,0.353965669005743
"Guarulhos","Mairiporã","3518800","3528502","base",2,3,NA,4063.988338556,NA,NA,0.267834141595398
"Fartura","Piraju","3515400","3538808","base",2,1,NA,NA,91,NA,0.211981861832058
"Tejupá","Piraju","3554201","3538808","base",2,6,NA,NA,28,NA,0.278440406359972
"Jaguariúna","Santo Antônio de Posse","3524709","3548005","base",2,6,NA,NA,146,NA,0.347639650347297
"Mogi Mirim","Santo Antônio de Posse","3530805","3548005","base",2,4,NA,NA,41,NA,0.263161271453179
"Itapira","Santo Antônio de Posse","3522604","3548005","base",1,1,NA,NA,NA,NA,0.132416970958724
"Amparo","Santo Antônio de Posse","3501905","3548005","base",2,3,NA,NA,27,NA,0.225270355223335
"Bofete","Guareí","3506904","3518503","base",2,2,NA,NA,19,NA,0.184361433480573
"Quadra","Guareí","3541653","3518503","base",2,3,NA,NA,24,NA,0.220438809567983
"Igaraçu do Tietê","São Manuel","3520004","3550100","base",2,4,NA,NA,63,NA,0.281118879287878
"Botucatu","São Manuel","3507506","3550100","base",2,7,NA,NA,466,NA,0.409249101262918
"Areiópolis","São Manuel","3503604","3550100","base",2,4,NA,NA,245,NA,0.338522061488045
"Monte Castelo","Nova Guataporanga","3531605","3533106","base",2,1,NA,NA,38,NA,0.175393044198138
"São João do Pau d'Alho","Nova Guataporanga","3549300","3533106","base",2,2,NA,NA,38,NA,0.212833025600817
"Capão Bonito","Taquarivaí","3510203","3553856","base",2,1,NA,NA,89,NA,0.211044834362103
"Buri","Taquarivaí","3508009","3553856","base",2,6,NA,NA,129,NA,0.342400129964664
"São Paulo","Itaquaquecetuba","3550308","3523107","base",2,2,NA,149559.192922482,NA,NA,0.329542663736507
"Arujá","Itaquaquecetuba","3503901","3523107","base",2,6,NA,17149.5810200867,NA,NA,0.354756123189053
"Guarulhos","Itaquaquecetuba","3518800","3523107","base",2,2,NA,26925.9524984727,NA,NA,0.287562751091164
"Ribeirão Pires","Suzano","3543303","3552502","base",2,6,NA,6007.9111583982,NA,NA,0.329077370881248
"Itaquaquecetuba","Suzano","3523107","3552502","base",2,2,NA,37534.43030408,NA,NA,0.295695364807885
"Santa Rita do Passa Quatro","Descalvado","3547502","3513702","base",1,1,NA,NA,NA,NA,0.132416970958724
"Serra Azul","Santa Cruz da Esperança","3551405","3546256","base",1,3,NA,NA,NA,NA,0.260425112870461
"São João das Duas Pontes","Fernandópolis","3549201","3515509","base",1,2,NA,NA,NA,NA,0.207296933764083
"Guarani d'Oeste","Fernandópolis","3518008","3515509","base",2,3,NA,NA,28,NA,0.226766404642028
"Mairiporã","Atibaia","3528502","3504107","base",2,4,NA,NA,274,NA,0.34327306807453
"Nova Luzitânia","Lourdes","3533304","3527256","base",1,2,NA,NA,NA,NA,0.207296933764083
"Nova Castilho","Santo Antônio do Aracanguá","3532868","3548054","base",1,5,NA,NA,NA,NA,0.33530507567582
"Nova Luzitânia","Santo Antônio do Aracanguá","3533304","3548054","base",2,2,NA,NA,12,NA,0.165995850918593
"Lourdes","Santo Antônio do Aracanguá","3527256","3548054","base",1,1,NA,NA,NA,NA,0.132416970958724
"Pompéia","Marília","3540002","3529005","base",2,1,NA,NA,256,NA,0.255778244732699
"Potirendaba","Urupês","3540804","3556008","base",2,1,NA,NA,13,NA,0.131715317187228
"Marapoama","Urupês","3528858","3556008","base",1,3,NA,NA,NA,NA,0.260425112870461
"Nova Odessa","Santa Bárbara d'Oeste","3533403","3545803","base",1,1,NA,NA,NA,NA,0.132416970958724
"Piracicaba","Santa Bárbara d'Oeste","3538709","3545803","base",2,4,NA,NA,292,NA,0.345976066842039
"Sumaré","Santa Bárbara d'Oeste","3552403","3545803","base",1,4,NA,NA,NA,NA,0.301634530126178
"Paranapuã","Dolcinópolis","3535903","3514205","base",2,4,NA,NA,38,NA,0.260001823781865
"Santa Clara d'Oeste","Rubinéia","3546108","3544509","base",1,2,NA,NA,NA,NA,0.207296933764083
"Quintana","Herculândia","3542008","3519006","base",2,5,NA,NA,232,NA,0.353042655454815
"Pompéia","Herculândia","3540002","3519006","base",2,4,NA,NA,232,NA,0.336207382679994
"Fartura","Sarutaiá","3515400","3551207","base",2,3,NA,NA,77,NA,0.268948082234245
"Piraju","Sarutaiá","3538808","3551207","base",2,4,NA,NA,98,NA,0.299716976049581
"Sumaré","Hortolândia","3552403","3519071","base",1,3,NA,NA,NA,NA,0.260425112870461
"Aparecida d'Oeste","Suzanápolis","3502606","3552551","base",2,2,NA,NA,33,NA,0.206983725569125
"Pereira Barreto","Suzanápolis","3537404","3552551","base",2,1,NA,NA,36,NA,0.173148682136459
"Nhandeara","Monte Aprazível","3532603","3531407","base",2,5,NA,NA,77,NA,0.306388063636925
"Jaguariúna","Holambra","3524709","3519055","base",2,2,NA,NA,196,NA,0.281883281026028
"Mogi Mirim","Holambra","3530805","3519055","base",2,1,NA,NA,42,NA,0.17955566835758
"Rio Claro","Iracemápolis","3543907","3521408","base",1,3,NA,NA,NA,NA,0.260425112870461
"Piracicaba","Iracemápolis","3538709","3521408","base",2,9,NA,NA,70,NA,0.34954812244259
"Pereira Barreto","Mirandópolis","3537404","3530102","base",1,2,NA,NA,NA,NA,0.207296933764083
"Guapiaçu","Uchoa","3517505","3555604","base",1,1,NA,NA,NA,NA,0.132416970958724
"Catiguá","Uchoa","3511201","3555604","base",2,4,NA,NA,36,NA,0.257757461720186
"Cedral","Uchoa","3511300","3555604","base",1,4,NA,NA,NA,NA,0.301634530126178
"Buritizal","Igarapava","3508207","3520103","base",2,2,NA,NA,40,NA,0.214965121544534
"Aramina","Igarapava","3503000","3520103","base",2,5,NA,NA,110,NA,0.321429909177231
"Campos Novos Paulista","Ribeirão do Sul","3509809","3543204","base",1,3,NA,NA,NA,NA,0.260425112870461
"José Bonifácio","Nipoã","3525706","3532702","base",2,1,NA,NA,40,NA,0.177525140141855
"Monte Aprazível","Nipoã","3531407","3532702","base",2,4,NA,NA,54,NA,0.274657847379831
"Marabá Paulista","Teodoro Sampaio","3528700","3554300","base",1,2,NA,NA,NA,NA,0.207296933764083
"Rafard","Porto Feliz","3542107","3540606","base",2,4,NA,NA,42,NA,0.264164447941307
"Itu","Porto Feliz","3523909","3540606","base",2,6,NA,NA,399,NA,0.390316679606883
"Quintana","Borá","3542008","3507209","base",1,1,NA,NA,NA,NA,0.132416970958724
"Tabatinga","Itápolis","3552700","3522703","base",2,6,NA,NA,24,NA,0.272112811285928
"Borborema","Itápolis","3507407","3522703","base",2,7,NA,NA,100,NA,0.343969027474522
"Matão","Itápolis","3529302","3522703","base",2,3,NA,NA,16,NA,0.203996848042075
"Taquaritinga","Itápolis","3553708","3522703","base",2,7,NA,NA,153,NA,0.361953008977653
"Quadra","Pereiras","3541653","3537503","base",1,3,NA,NA,NA,NA,0.260425112870461
"Cesário Lange","Pereiras","3511607","3537503","base",2,7,NA,NA,56,NA,0.319579979925692
"Conchas","Pereiras","3512308","3537503","base",2,5,NA,NA,150,NA,0.334550209746506
"Jacupiranga","Pariquera-Açu","3524600","3536208","base",2,7,NA,NA,104,NA,0.345624887395648
"Iguape","Pariquera-Açu","3520301","3536208","base",2,2,NA,NA,225,NA,0.287738129705305
"Registro","Pariquera-Açu","3542602","3536208","base",2,4,NA,NA,505,NA,0.369269224214234
"Leme","Pirassununga","3526704","3539301","base",2,5,NA,NA,481,NA,0.38403284894601
"Santa Cruz da Conceição","Pirassununga","3546207","3539301","base",1,6,NA,NA,NA,NA,0.363773116306351
"Descalvado","Pirassununga","3513702","3539301","base",2,5,NA,NA,145,NA,0.333114618433422
"Santo Anastácio","Ribeirão dos Índios","3547700","3543238","base",2,2,NA,NA,54,NA,0.227489049198784
"Monte Alto","Vista Alegre do Alto","3531308","3556909","base",2,7,NA,NA,75,NA,0.331844739403945
"Ribeirão Pires","Rio Grande da Serra","3543303","3544103","base",2,2,NA,12565.4166462879,NA,NA,0.268903342790716
"Santo André","Rio Grande da Serra","3547809","3544103","base",2,2,NA,6563.5626398795,NA,NA,0.253004719618343
"Borebi","Lençóis Paulista","3507456","3526803","base",1,4,NA,NA,NA,NA,0.301634530126178
"Macatuba","Lençóis Paulista","3528007","3526803","base",2,4,NA,NA,59,NA,0.278367406343845
"Areiópolis","Lençóis Paulista","3503604","3526803","base",2,3,NA,NA,200,NA,0.309304344833821
"Juquiá","Miracatu","3526100","3529906","base",2,5,NA,NA,321,NA,0.366834999994637
"Iguape","Miracatu","3520301","3529906","base",2,3,NA,NA,118,NA,0.286956900926346
"Juquitiba","Miracatu","3526209","3529906","base",2,3,NA,NA,224,NA,0.314113158932431
"Nova Castilho","Gastão Vidigal","3532868","3516804","base",1,1,NA,NA,NA,NA,0.132416970958724
"Nova Luzitânia","Gastão Vidigal","3533304","3516804","base",2,5,NA,NA,12,NA,0.229999921874462
"Nhandeara","Gastão Vidigal","3532603","3516804","base",1,2,NA,NA,NA,NA,0.207296933764083
"Ribeirão Bonito","São Carlos","3542909","3548906","base",2,3,NA,NA,215,NA,0.312372793465975
"Ibaté","São Carlos","3519303","3548906","base",2,6,NA,NA,665,NA,0.412052071254959
"Descalvado","São Carlos","3513702","3548906","base",2,8,NA,NA,121,NA,0.362898321888048
"Coronel Macedo","Taguaí","3512605","3553005","base",1,2,NA,NA,NA,NA,0.207296933764083
"Fartura","Taguaí","3515400","3553005","base",2,4,NA,NA,43,NA,0.265144560845611
"Tejupá","Taguaí","3554201","3553005","base",1,1,NA,NA,NA,NA,0.132416970958724
"Taquarituba","Taguaí","3553807","3553005","base",2,3,NA,NA,43,NA,0.244539852217753
"Capela do Alto","Iperó","3510302","3521002","base",1,1,NA,NA,NA,NA,0.132416970958724
"Cotia","São Roque","3513009","3550605","base",2,1,NA,NA,358,NA,0.270028178644557
"Pindorama","Ariranha","3538105","3503703","base",2,3,NA,NA,28,NA,0.226766404642028
"Palmares Paulista","Ariranha","3535101","3503703","base",1,3,NA,NA,NA,NA,0.260425112870461
"Monte Alto","Ariranha","3531308","3503703","base",2,1,NA,NA,28,NA,0.162762333686159
"Vista Alegre do Alto","Ariranha","3556909","3503703","base",2,1,NA,NA,28,NA,0.162762333686159
"Pirapozinho","Anhumas","3539202","3502408","base",1,3,NA,NA,NA,NA,0.260425112870461
"Dolcinópolis","Vitória Brasil","3514205","3556958","base",2,3,NA,NA,24,NA,0.220438809567983
"Guaíra","Barretos","3517406","3505500","base",2,2,NA,NA,112,NA,0.258187162625066
"Severínia","Barretos","3551900","3505500","base",1,1,NA,NA,NA,NA,0.132416970958724
"Olímpia","Barretos","3533908","3505500","base",3,3,6418,NA,195,NA,0.275355931170905
"Buri","Paranapanema","3508009","3535804","base",1,3,NA,NA,NA,NA,0.260425112870461
"Nova Europa","Gavião Peixoto","3532900","3516853","base",2,4,NA,NA,130,NA,0.311657528386273
"Matão","Gavião Peixoto","3529302","3516853","base",1,1,NA,NA,NA,NA,0.132416970958724
"Boa Esperança do Sul","Gavião Peixoto","3506706","3516853","base",1,2,NA,NA,NA,NA,0.207296933764083
"São Paulo","Caieiras","3550308","3509007","base",2,4,NA,54683.5468589041,NA,NA,0.352077468104334
"Mairiporã","Caieiras","3528502","3509007","base",2,3,NA,1143.4644330054,NA,NA,0.236801046262755
"Cafelândia","Júlio Mesquita","3508801","3525805","base",2,1,NA,NA,54,NA,0.190049067796105
"Marília","Júlio Mesquita","3529005","3525805","base",2,3,NA,NA,79,NA,0.27002745719424
"Valparaíso","Flórida Paulista","3556305","3516002","base",1,1,NA,NA,NA,NA,0.132416970958724
"Presidente Prudente","Flórida Paulista","3541406","3516002","base",1,1,NA,NA,NA,NA,0.132416970958724
"Boa Esperança do Sul","Bocaina","3506706","3506805","base",2,3,NA,NA,50,NA,0.250834022724299
"São Simão","Santa Rosa de Viterbo","3550902","3547601","base",2,4,NA,NA,241,NA,0.33782314364406
"Santo Antônio do Pinhal","Pindamonhangaba","3548203","3538006","base",2,5,NA,NA,70,NA,0.302379324261543
"Águas de Santa Bárbara","Manduri","3500550","3528601","base",2,3,NA,NA,61,NA,0.259160627336109
"Piraju","Manduri","3538808","3528601","base",2,5,NA,NA,117,NA,0.324037107757993
"Barrinha","Sertãozinho","3505609","3551702","base",2,4,NA,NA,392,NA,0.358494703068497
"Jardinópolis","Sertãozinho","3525102","3551702","base",1,1,NA,NA,NA,NA,0.132416970958724
"Ribeirão Preto","Sertãozinho","3543402","3551702","base",2,7,NA,NA,1222,NA,0.450293324457188
"Pitangueiras","Sertãozinho","3539509","3551702","base",2,1,NA,NA,245,NA,0.253913281904318
"Iaras","Cerqueira César","3519253","3511409","base",1,5,NA,NA,NA,NA,0.33530507567582
