"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Suzano","Bertioga","3552502","3506359","proximidade",2,NA,NA,NA,28,0.030160701842719,0.203035089547197
"Descalvado","Luís Antônio","3513702","3527603","proximidade",1,NA,NA,NA,NA,0.0258322879656103,0.182993521998565
"Cordeirópolis","Iracemápolis","3512407","3521408","proximidade",1,NA,NA,NA,NA,0.0590335186954064,0.409706656730659
"Cordeirópolis","Cosmópolis","3512407","3512803","proximidade",1,NA,NA,NA,NA,0.0330587697343269,0.232957754032258
"Cordeirópolis","Engenheiro Coelho","3512407","3515152","proximidade",1,NA,NA,NA,NA,0.0404752190851054,0.283873324922873
"Cordeirópolis","Americana","3512407","3501608","proximidade",1,NA,NA,NA,NA,0.0334174172605927,0.235428347723623
"Santa Cruz da Esperança","Cássia dos Coqueiros","3546256","3510906","proximidade",1,NA,NA,NA,NA,0.0325666114834278,0.229566056570675
"Santa Cruz da Esperança","Santa Rosa de Viterbo","3546256","3547601","proximidade",1,NA,NA,NA,NA,0.0377711013796185,0.265351119106139
"Santa Cruz da Esperança","Brodowski","3546256","3507803","proximidade",1,NA,NA,NA,NA,0.031540782206839,0.22249137780762
"Santa Cruz da Esperança","Serrana","3546256","3551504","proximidade",1,NA,NA,NA,NA,0.0524931666766271,0.365613638546067
"Santa Cruz da Esperança","Santo Antônio da Alegria","3546256","3547908","proximidade",1,NA,NA,NA,NA,0.0308616297382203,0.217803699715627
"Fernandópolis","Vitória Brasil","3515509","3556958","proximidade",1,NA,NA,NA,NA,0.0439780543480551,0.307795014307681
"Fernandópolis","Parisi","3515509","3536257","proximidade",1,NA,NA,NA,NA,0.0388440808435033,0.272706400847787
"Fernandópolis","Valentim Gentil","3515509","3556107","proximidade",2,NA,NA,NA,130,0.0397199187716298,0.300192586671351
"Atibaia","Nazaré Paulista","3504107","3532405","proximidade",2,NA,NA,NA,269,0.042039296416955,0.338955880822522
"Atibaia","Piracaia","3504107","3538600","proximidade",2,NA,NA,NA,387,0.0329497631512524,0.323234891515402
"Atibaia","Vargem","3504107","3556354","proximidade",1,NA,NA,NA,NA,0.0319771725778838,0.225501823540313
"Estiva Gerbi","Aguaí","3557303","3500303","proximidade",1,NA,NA,NA,NA,0.0436244893609908,0.305384080277972
"Estiva Gerbi","São João da Boa Vista","3557303","3549102","proximidade",1,NA,NA,NA,NA,0.0311845249765767,0.220032787395203
"Estiva Gerbi","Conchal","3557303","3512209","proximidade",1,NA,NA,NA,NA,0.0397044785325062,0.278598946747758
"Estiva Gerbi","Santo Antônio do Jardim","3557303","3548104","proximidade",1,NA,NA,NA,NA,0.0342223528772846,0.24097013917597
"Lourdes","Gastão Vidigal","3527256","3516804","proximidade",1,NA,NA,NA,NA,0.0609092232271771,0.422301834427294
"Lourdes","Zacarias","3527256","3557154","proximidade",1,NA,NA,NA,NA,0.0364176746576547,0.256062515752335
"Lourdes","Monções","3527256","3531001","proximidade",1,NA,NA,NA,NA,0.053338246180654,0.37132629202765
